species,region,production_system,group,age_group,sex,year,ahle_component,cause,mean,sd,lower95,upper95
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2021,Mortality,Infectious,2737568029.63047,258827912.631813,2721526004.18338,2753610055.07757
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2021,Mortality,Non-infectious,1784430263.21361,240009657.860155,1769554583.84892,1799305942.57829
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2021,Production loss,External,2627586782.43427,1077991271.45885,2560773418.94248,2694400145.92606
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2021,Production loss,Infectious,5863716990.51268,2297657387.97232,5721309327.01237,6006124654.01299
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2021,Production loss,Non-infectious,4115057250.59681,1638516118.13596,4013502835.55965,4216611665.63397
All Small Ruminants,National,Crop livestock mixed,Adult male,Adult,Male,2017,Mortality,External,541088236.139752,78497112.6044742,536223024.095502,545953448.184003
All Small Ruminants,National,Crop livestock mixed,Adult male,Adult,Male,2017,Mortality,Infectious,1030607609.5802,84781480.3757996,1025352895.54337,1035862323.61704
All Small Ruminants,National,Crop livestock mixed,Adult male,Adult,Male,2017,Mortality,Non-infectious,611435062.093584,70345453.2472315,607075085.8468,615795038.340369
All Small Ruminants,National,Crop livestock mixed,Adult male,Adult,Male,2017,Production loss,External,3671428894.894,1525497166.53313,3576879338.33281,3765978451.45519
All Small Ruminants,National,Crop livestock mixed,Adult male,Adult,Male,2017,Production loss,Infectious,7756695692.02817,3112618493.3411,7563777144.06496,7949614239.99138
All Small Ruminants,National,Crop livestock mixed,Adult male,Adult,Male,2017,Production loss,Non-infectious,5358916102.29984,2191781485.36436,5223070574.64724,5494761629.95243
